City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
278,Mikuni,36.2171,136.1519,55.31,overcast clouds,68,100,3.38,JP
279,Sinnamary,5.3833,-52.95,82.85,overcast clouds,74,98,10.33,GF
280,Merauke,-8.4667,140.3333,80.71,scattered clouds,82,25,6.89,ID
281,Ixtapa,20.7,-105.2,82.22,clear sky,69,0,3.44,MX
282,Trelew,-43.249,-65.3051,67.06,clear sky,14,0,3.06,AR
283,Inuvik,68.3499,-133.7218,13.21,light snow,85,100,4.61,CA
284,Katsuura,35.1333,140.3,61.34,overcast clouds,64,100,10.04,JP
285,Sept-Iles,50.2001,-66.3821,55.83,scattered clouds,48,40,12.66,CA
286,Hikone,35.25,136.25,57.87,light rain,62,100,6.93,JP
287,Zhigansk,66.7697,123.3711,-7.78,overcast clouds,100,93,3.74,RU
288,Debno,52.739,14.698,58.14,overcast clouds,80,92,1.77,PL
289,Inongo,-1.95,18.2667,72.72,light rain,94,98,6.29,CD
290,Derzhavinsk,51.1,66.3167,40.39,overcast clouds,81,100,18.88,KZ
291,Kruisfontein,-34.0033,24.7314,58.89,overcast clouds,60,92,8.9,ZA
292,Havre-Saint-Pierre,50.2334,-63.5986,53.96,clear sky,58,0,20.71,CA
293,Nioro,13.35,-15.75,93.22,scattered clouds,36,48,4.25,GM
294,Cayenne,4.9333,-52.3333,87.84,broken clouds,70,75,13.8,GF
295,Safaga,26.7292,33.9365,77.94,clear sky,53,0,12.01,EG
296,Teknaf,20.8624,92.3058,77.18,clear sky,87,0,6.38,BD
297,Kijang,35.2442,129.2139,51.53,scattered clouds,67,29,7.31,KR
298,Dumas,35.8656,-101.9732,61.61,clear sky,44,0,9.22,US
299,Buala,-8.145,159.5921,79.41,scattered clouds,84,32,3.98,SB
300,Bengkulu,-3.8004,102.2655,75.97,overcast clouds,88,99,3.53,ID
301,Kosh-Agach,50.0,88.6667,21.09,scattered clouds,77,34,1.57,RU
302,Fort Nelson,58.8053,-122.7002,19.94,broken clouds,96,75,1.99,CA
303,Bay City,43.5945,-83.8889,58.1,mist,90,100,3.44,US
304,Yulara,-25.2406,130.9889,54.88,clear sky,34,0,8.28,AU
305,Luanda,-8.8368,13.2343,82.4,few clouds,74,20,16.11,AO
306,Yerbogachen,61.2767,108.0108,8.92,broken clouds,98,61,3.91,RU
307,Bone,51.9669,12.1396,56.89,overcast clouds,89,99,5.41,DE
308,Okhotsk,59.3833,143.3,21.67,light snow,93,100,8.03,RU
309,Xining,36.6167,101.7667,41.31,clear sky,46,1,1.5,CN
310,Srandakan,-7.9386,110.2506,76.14,overcast clouds,88,100,3.04,ID
311,Kawalu,-7.3817,108.2082,71.19,overcast clouds,92,97,0.45,ID
312,Kuliyapitiya,7.4688,80.0401,78.48,moderate rain,94,100,2.01,LK
313,Anadyr,64.75,177.4833,-8.9,clear sky,76,0,15.66,RU
314,Bilibino,68.0546,166.4372,-21.93,overcast clouds,100,98,1.34,RU
315,Linxia,35.6003,103.2064,46.36,clear sky,49,0,2.39,CN
