City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Alihe,CN,2022-10-26 00:13:02,50.5667,123.7167,34.25,54,100,7.29
138,Paamiut,GL,2022-10-26 00:13:03,61.994,-49.6678,30.69,61,49,7.2
139,Coihaique,CL,2022-10-26 00:13:03,-45.5752,-72.0662,52.41,71,75,5.75
140,Waipawa,NZ,2022-10-26 00:13:04,-41.4122,175.5153,61.23,58,51,15.88
141,Etchoropo,MX,2022-10-26 00:13:04,26.7667,-109.6667,84.42,44,80,13.96
142,Novaya Bryan,RU,2022-10-26 00:13:05,51.7159,108.2691,22.84,63,1,2.53
143,Cody,US,2022-10-26 00:12:00,44.5263,-109.0565,44.91,37,0,15.99
144,Port Elizabeth,ZA,2022-10-26 00:13:05,-33.918,25.5701,61.11,82,97,2.62
145,Souillac,MU,2022-10-26 00:13:05,-20.5167,57.5167,70.7,84,6,9.33
146,Del Rio,US,2022-10-26 00:09:03,29.3627,-100.8968,72.0,27,0,0.0
147,Sassandra,CI,2022-10-26 00:13:06,4.95,-6.0833,76.93,93,98,5.73
148,Butaritari,KI,2022-10-26 00:13:06,3.0707,172.7902,81.72,75,68,3.94
149,Petropavlovsk-Kamchatskiy,RU,2022-10-26 00:13:07,53.0452,158.6483,39.79,56,40,11.18
150,Coahuayana,MX,2022-10-26 00:13:07,18.7333,-103.6833,80.15,85,71,3.56
151,Lata,PT,2022-10-26 00:13:07,40.1629,-8.3327,61.07,93,1,4.18
152,Saldanha,ZA,2022-10-26 00:13:08,-33.0117,17.9442,58.91,90,14,12.33
153,Codrington,AU,2022-10-26 00:13:08,-38.2667,141.9667,59.13,94,100,11.88
154,Hobart,AU,2022-10-26 00:13:08,-42.8794,147.3294,58.86,97,75,19.57
155,Tuktoyaktuk,CA,2022-10-26 00:13:09,69.4541,-133.0374,10.29,94,64,7.76
156,Fribourg,CH,2022-10-26 00:13:09,46.8024,7.1513,58.08,81,20,0.0
157,Aykhal,RU,2022-10-26 00:13:09,66.0,111.5,12.06,99,65,10.2
158,Beyneu,KZ,2022-10-26 00:13:10,45.3167,55.2,48.96,76,82,14.14
159,Walvis Bay,NA,2022-10-26 00:13:11,-22.9575,14.5053,60.1,93,94,3.42
160,Axim,GH,2022-10-26 00:13:11,4.8699,-2.2405,77.61,87,70,4.88
161,Isangel,VU,2022-10-26 00:13:11,-19.55,169.2667,78.4,71,99,12.24
162,Miyako,JP,2022-10-26 00:13:12,39.6367,141.9525,53.76,55,95,13.87
163,Tilichiki,RU,2022-10-26 00:13:12,60.4667,166.1,31.12,85,87,20.36
164,Dunda,TZ,2022-10-26 00:13:12,-8.1167,34.25,68.36,51,94,2.59
165,Porto Empedocle,IT,2022-10-26 00:13:13,37.2934,13.5264,71.71,41,100,3.98
166,Vestmannaeyjar,IS,2022-10-26 00:13:13,63.4427,-20.2734,45.0,85,100,27.45
167,Nuevo Progreso,MX,2022-10-26 00:13:13,23.1667,-97.95,73.47,46,87,7.27
168,Victoria Point,AU,2022-10-26 00:13:14,-27.5833,153.3,87.26,53,55,4.0
169,Kharhial,IN,2022-10-26 00:13:14,20.2833,82.7667,65.48,80,0,0.78
170,Tiksi,RU,2022-10-26 00:13:15,71.6872,128.8694,18.41,91,100,12.88
171,Mount Gambier,AU,2022-10-26 00:13:15,-37.8333,140.7667,60.71,94,100,11.5
172,Nouadhibou,MR,2022-10-26 00:13:16,20.931,-17.0347,70.43,83,2,14.32
173,Wanning,CN,2022-10-26 00:13:16,18.8003,110.3967,76.6,89,95,12.24
174,Constitucion,CL,2022-10-26 00:13:16,-35.3333,-72.4167,54.93,94,76,4.61
175,Hofn,IS,2022-10-26 00:13:17,64.2539,-15.2082,42.49,83,100,16.24
176,Tazovskiy,RU,2022-10-26 00:13:17,67.4667,78.7,15.6,90,77,12.68
177,Zyryanka,RU,2022-10-26 00:12:22,65.75,150.85,14.63,92,97,9.51
178,East London,ZA,2022-10-26 00:14:18,-33.0153,27.9116,63.61,69,100,9.55
179,Pontes E Lacerda,BR,2022-10-26 00:14:18,-15.2261,-59.3353,77.9,70,33,3.96
180,Pasighat,IN,2022-10-26 00:14:18,28.0667,95.3333,66.52,96,68,2.91
181,Port Augusta,AU,2022-10-26 00:14:19,-32.5,137.7667,61.88,75,80,4.97
182,Puerto Lempira,HN,2022-10-26 00:14:19,15.2667,-83.7667,79.02,79,55,7.05
183,Bayeux,BR,2022-10-26 00:11:34,-7.125,-34.9322,77.63,83,40,6.91
184,Jiexiu,CN,2022-10-26 00:14:20,37.0244,111.9125,56.82,51,100,0.04
185,Rocha,UY,2022-10-26 00:13:26,-34.4833,-54.3333,56.14,88,8,8.61
186,Salalah,OM,2022-10-26 00:14:20,17.0151,54.0924,75.29,64,0,3.44
187,Pueblo,US,2022-10-26 00:14:21,38.2545,-104.6091,66.15,13,75,11.5
188,Evensk,RU,2022-10-26 00:14:21,61.95,159.2333,18.82,83,37,6.24
189,Maryville,US,2022-10-26 00:11:06,35.7565,-83.9705,72.68,59,75,6.91
190,Arraial Do Cabo,BR,2022-10-26 00:14:22,-22.9661,-42.0278,71.22,81,6,10.07
191,Namibe,AO,2022-10-26 00:14:22,-15.1961,12.1522,68.31,85,38,6.8
192,Sorland,NO,2022-10-26 00:14:22,67.667,12.6934,44.46,65,100,1.66
193,Kongoussi,BF,2022-10-26 00:14:23,13.3258,-1.5347,83.77,24,43,5.73
194,Torbay,CA,2022-10-26 00:14:23,47.6666,-52.7314,54.5,85,0,5.99
195,Imbituba,BR,2022-10-26 00:14:15,-28.24,-48.6703,63.57,87,19,8.32
196,Weiser,US,2022-10-26 00:14:24,44.251,-116.9693,53.8,68,32,4.97
197,Pangnirtung,CA,2022-10-26 00:14:24,66.1451,-65.7125,20.46,75,100,8.34
198,Dali,CN,2022-10-26 00:14:25,25.7,100.1833,58.77,96,98,2.95
199,Ostrovnoy,RU,2022-10-26 00:14:25,68.0531,39.5131,30.9,89,87,17.85
200,Yar-Sale,RU,2022-10-26 00:14:26,66.8333,70.8333,19.02,95,97,7.87
201,Samokov,BG,2022-10-26 00:14:26,42.3333,23.55,53.46,59,42,2.71
202,Joao Pinheiro,BR,2022-10-26 00:14:27,-17.7425,-46.1725,79.99,39,81,4.68
203,Kilindoni,TZ,2022-10-26 00:14:28,-7.9139,39.6668,76.44,78,22,11.5
204,Samarai,PG,2022-10-26 00:14:29,-10.6167,150.6667,82.78,67,12,9.01
205,Mount Isa,AU,2022-10-26 00:13:03,-20.7333,139.5,73.17,94,75,11.5
206,Zhaotong,CN,2022-10-26 00:14:29,27.3167,103.7167,51.64,97,99,6.44
207,Riachao Das Neves,BR,2022-10-26 00:14:29,-11.7461,-44.91,73.04,88,100,2.57
208,Rawson,AR,2022-10-26 00:10:51,-43.3002,-65.1023,58.17,57,100,16.31
209,Lozova,UA,2022-10-26 00:14:30,48.8894,36.3176,50.54,91,100,9.95
210,Lumphat,KH,2022-10-26 00:14:30,13.4878,106.9816,74.77,92,100,2.95
211,Port Macquarie,AU,2022-10-26 00:14:30,-31.4333,152.9167,81.9,51,6,2.98
212,Katwa,IN,2022-10-26 00:14:30,23.6399,88.128,69.67,83,0,3.44
213,Necochea,AR,2022-10-26 00:14:31,-38.5473,-58.7368,58.14,90,100,11.14
214,Iranshahr,IR,2022-10-26 00:14:31,27.2025,60.6848,73.08,23,0,1.77
215,Kimbe,PG,2022-10-26 00:14:31,-5.5502,150.1429,89.08,60,91,2.57
216,Thompson,CA,2022-10-26 00:10:10,55.7435,-97.8558,25.14,96,100,8.39
217,Airai,TL,2022-10-26 00:14:32,-8.9266,125.4092,69.33,69,100,0.18
218,Port-Gentil,GA,2022-10-26 00:14:32,-0.7193,8.7815,79.34,82,100,8.19
219,Cabo San Lucas,MX,2022-10-26 00:10:02,22.8909,-109.9124,84.61,50,0,11.5
220,Peniche,PT,2022-10-26 00:14:32,39.3558,-9.3811,66.29,92,0,13.2
221,Tahta,EG,2022-10-26 00:14:32,26.7693,31.5021,68.34,34,2,5.55
222,Campos Do Jordao,BR,2022-10-26 00:13:18,-22.7394,-45.5914,53.24,96,63,3.49
223,Roald,NO,2022-10-26 00:14:33,62.5833,6.1333,54.75,87,100,4.61
224,Ilo,PE,2022-10-26 00:15:33,-17.6394,-71.3375,60.8,83,4,7.43
225,Mayor Pablo Lagerenza,PY,2022-10-26 00:15:33,-19.9309,-60.7718,87.06,36,10,9.13
226,Kudahuvadhoo,MV,2022-10-26 00:15:33,2.6708,72.8944,80.89,80,62,10.92
227,Changli,CN,2022-10-26 00:15:34,39.7042,119.1506,58.15,71,44,5.1
228,Esperance,AU,2022-10-26 00:15:34,-33.8667,121.9,61.27,66,16,10.16
229,Baherden,TM,2022-10-26 00:15:34,38.4362,57.4316,57.88,65,6,4.12
230,Mayo,US,2022-10-26 00:15:35,38.8876,-76.5119,61.52,95,100,1.01
231,Biak,ID,2022-10-26 00:15:35,-0.9131,122.8766,80.28,73,98,4.14
232,Huixtla,MX,2022-10-26 00:15:35,15.15,-92.4667,82.08,90,42,2.51
233,Kulunda,RU,2022-10-26 00:15:36,52.566,78.9385,30.52,46,68,7.92
234,Scarborough,GB,2022-10-26 00:12:21,54.2797,-0.4044,54.97,89,99,4.0
235,Vardo,NO,2022-10-26 00:15:36,70.3705,31.1107,30.18,93,75,13.8
236,Yinchuan,CN,2022-10-26 00:15:36,38.4681,106.2731,51.12,34,55,13.35
237,San Patricio,US,2022-10-26 00:15:36,28.017,-97.5169,74.84,27,0,3.98
238,Pacific Grove,US,2022-10-26 00:15:37,36.6177,-121.9166,69.03,75,0,12.66
239,Linfen,CN,2022-10-26 00:15:37,36.0889,111.5189,60.73,49,100,1.92
240,Avarua,CK,2022-10-26 00:15:37,-21.2078,-159.775,77.05,53,100,8.05
241,Amga,RU,2022-10-26 00:15:38,60.8953,131.9608,23.88,94,91,6.73
242,Guerrero Negro,MX,2022-10-26 00:15:38,27.9769,-114.0611,72.43,44,0,13.62
243,Hare Bay,CA,2022-10-26 00:15:38,48.8499,-54.0148,56.55,82,1,4.16
244,Rio Grande,BR,2022-10-26 00:15:38,-32.035,-52.0986,66.31,88,0,18.5
245,Ambon,ID,2022-10-26 00:15:39,-3.6954,128.1814,86.14,79,20,1.14
246,Yanggu,CN,2022-10-26 00:15:39,36.1106,115.7753,59.25,52,100,10.76
247,Denham Springs,US,2022-10-26 00:15:30,30.4869,-90.9562,69.66,59,0,5.75
248,Amnat Charoen,TH,2022-10-26 00:15:39,15.9167,104.75,73.72,89,71,12.35
249,Bambous Virieux,MU,2022-10-26 00:15:39,-20.3428,57.7575,71.85,83,40,5.75
250,Fort Saint James,CA,2022-10-26 00:15:40,54.4333,-124.25,39.58,65,100,1.48
251,Bilma,NE,2022-10-26 00:13:23,18.6853,12.9164,70.52,15,0,5.26
252,Zlatoust,RU,2022-10-26 00:15:40,55.1711,59.6508,27.14,78,96,5.41
253,Rantepao,ID,2022-10-26 00:15:41,-2.9701,119.8978,74.41,83,96,1.25
254,Fort Nelson,CA,2022-10-26 00:15:15,58.8053,-122.7002,25.14,80,74,2.75
255,Shunyi,CN,2022-10-26 00:15:41,40.125,116.6453,49.95,93,76,2.24
256,Ipora,BR,2022-10-26 00:15:41,-16.4419,-51.1178,80.82,49,53,3.76
257,Sotouboua,TG,2022-10-26 00:15:41,8.5667,0.9833,75.24,94,100,1.48
258,Filimonovo,RU,2022-10-26 00:15:42,56.2011,95.4611,29.73,55,9,4.59
259,Makakilo City,US,2022-10-26 00:15:42,21.3469,-158.0858,86.32,61,20,16.11
260,Puerto Escondido,MX,2022-10-26 00:15:42,15.85,-97.0667,83.23,61,75,5.75
261,Beisfjord,NO,2022-10-26 00:15:43,68.3751,17.5988,30.04,80,77,3.67
262,Lasa,IT,2022-10-26 00:15:43,46.6166,10.7002,52.68,92,79,2.06
263,Bay City,US,2022-10-26 00:14:14,43.5945,-83.8889,70.02,58,75,13.8
